qLearner,12,30,49,62,82,93,110,124,135,147,159,171,188,197,209,220,240,258,275,287,303,317,332,341,358,368,379,396,407,423,433,445,466,479,496,508,522,532,552,562,573,590,602,614,628,641,655,671,681,698,713,728,744,755,766,772,786,800,813,829,844,851,863,874,886,901,915,928,943,956,970,983,995,1008,1017,1025,1039,1055,1070,1080,1089,1105,1122,1140,1152,1166,1179,1186,1204,1222,1239,1250,1261,1272,1284,1307,1321,1330,1346,1358
random,13,28,37,56,69,93,110,118,128,138,152,169,188,205,221,243,259,274,290,300,308,325,345,366,387,405,420,434,441,453,465,481,496,512,527,540,554,563,570,595,614,627,643,659,672,690,703,715,732,746,759,775,787,794,808,822,832,845,860,874,883,900,913,927,948,966,982,1003,1019,1044,1058,1071,1086,1101,1117,1141,1158,1176,1189,1199,1218,1231,1236,1249,1265,1275,1292,1309,1326,1339,1352,1362,1376,1387,1402,1416,1431,1443,1460,1478
aggressive,31,49,73,97,119,136,159,190,224,251,276,295,319,342,367,390,419,443,464,491,524,548,574,601,619,647,679,708,733,762,795,824,844,873,898,928,957,987,1016,1041,1073,1100,1124,1153,1183,1209,1235,1262,1291,1318,1349,1370,1399,1432,1463,1497,1530,1554,1580,1602,1634,1665,1697,1718,1742,1762,1786,1816,1839,1857,1883,1916,1942,1971,1996,2011,2035,2059,2085,2116,2143,2168,2202,2226,2252,2280,2308,2338,2360,2383,2408,2441,2465,2497,2521,2550,2568,2597,2621,2646
defensive,20,44,67,86,106,129,147,169,189,215,239,266,281,307,329,348,358,376,397,423,441,461,475,493,512,531,548,563,595,613,633,651,670,687,705,725,743,769,788,803,816,834,857,875,893,911,933,953,972,989,1005,1028,1046,1070,1089,1110,1128,1152,1173,1196,1215,1235,1253,1282,1300,1322,1343,1354,1375,1394,1415,1431,1453,1471,1496,1524,1544,1561,1582,1606,1626,1647,1666,1686,1707,1730,1747,1768,1786,1807,1827,1848,1874,1895,1919,1928,1956,1981,1999,2019
