qLearner,223,460,654,883,1115,1310,1548,1782,1977,2197,2360,2574,2813,3041,3250,3449,3618,3788,4026,4249,4488,4738,4950,5182,5382,5551,5741,5946,6147,6368,6568,6800,7031,7250,7486,7748,7984,8220,8472,8715,8962,9133,9356,9582,9798,10011,10264,10464,10700,10909,11109,11341,11554,11796,12028,12246,12497,12722,12891,13100,13300,13526,13760,13942,14186,14350,14587,14791,14992,15240,15450,15639,15850,16083,16330,16579,16815,17052,17228,17400,17634,17851,18068,18327,18543,18762,18965,19140,19345,19571,19788,20033,20268,20505,20751,20956,21189,21429,21644,21864,22046,22286,22497,22711,22948,23197,23396,23586,23764,24002,24246,24491,24726,24912,25126,25326,25577,25812,26042,26211,26395,26626,26857,27076,27292,27510,27773,27994,28182,28434,28665,28946,29119,29325,29510,29749,29950,30179,30360,30579,30782,31011,31237,31469,31724,31927,32163,32388,32611,32835,33021,33286,33510,33717,33954,34152,34396,34622,34821,35059,35291,35531,35720,35904,36128,36345,36561,36779,36978,37180,37382,37612,37853,38068,38286,38504,38730,38979,39201,39421,39658,39890,40100,40349,40570,40795,41028,41187,41420,41672,41876,42133,42339,42539,42751,43003,43233,43460,43634,43830
random,43,72,109,149,186,241,270,316,360,397,459,499,528,572,610,656,710,767,802,831,877,905,952,992,1037,1087,1130,1177,1205,1245,1292,1325,1365,1402,1442,1471,1506,1532,1566,1604,1643,1697,1741,1787,1834,1867,1893,1931,1967,2005,2050,2095,2134,2170,2205,2254,2286,2324,2376,2419,2457,2491,2531,2578,2606,2666,2705,2756,2813,2846,2895,2950,2994,3042,3084,3113,3154,3186,3234,3271,3311,3354,3402,3434,3474,3518,3570,3612,3658,3687,3728,3759,3789,3824,3858,3895,3933,3965,4012,4054,4111,4151,4189,4219,4252,4283,4328,4388,4447,4481,4511,4563,4603,4649,4698,4749,4786,4821,4858,4906,4949,4985,5022,5063,5112,5156,5185,5232,5282,5316,5354,5377,5432,5478,5521,5553,5601,5639,5690,5730,5783,5824,5859,5891,5930,5961,5997,6039,6086,6129,6177,6216,6251,6289,6331,6374,6405,6448,6493,6525,6567,6605,6661,6708,6737,6779,6819,6865,6912,6950,6997,7025,7055,7094,7128,7170,7202,7222,7262,7302,7338,7381,7421,7450,7489,7537,7573,7614,7642,7673,7711,7755,7800,7848,7885,7921,7964,8012,8065,8110
aggressive,80,162,258,348,424,500,576,643,746,819,908,982,1059,1139,1229,1320,1434,1539,1624,1717,1773,1843,1927,2002,2091,2194,2304,2398,2499,2575,2660,2746,2826,2916,2989,3055,3129,3208,3277,3352,3406,3518,3613,3689,3773,3869,3939,4027,4099,4185,4277,4352,4437,4509,4594,4671,4735,4817,4932,5030,5123,5205,5275,5377,5454,5553,5630,5725,5808,5889,5968,6058,6145,6206,6273,6341,6408,6483,6596,6699,6774,6861,6948,7021,7114,7199,7283,7389,7481,7576,7657,7728,7801,7864,7937,8033,8105,8182,8259,8340,8441,8513,8602,8697,8776,8847,8944,9034,9133,9210,9289,9360,9439,9532,9618,9709,9782,9862,9945,10061,10162,10231,10307,10388,10473,10558,10614,10696,10800,10875,10955,11012,11111,11193,11292,11377,11466,11545,11646,11726,11815,11885,11962,12040,12105,12197,12267,12353,12430,12508,12614,12668,12753,12839,12915,13013,13088,13167,13256,13326,13398,13456,13542,13631,13720,13805,13881,13956,14044,14135,14227,14304,14384,14471,14556,14636,14709,14788,14866,14939,15023,15100,15202,15276,15362,15435,15503,15633,15712,15785,15866,15923,16008,16097,16194,16264,16330,16415,16521,16619
defensive,54,106,179,220,275,349,406,459,517,587,673,745,800,848,911,975,1038,1106,1148,1203,1262,1314,1371,1424,1490,1568,1625,1679,1749,1812,1880,1929,1978,2032,2083,2126,2181,2240,2285,2329,2389,2452,2490,2542,2595,2653,2704,2778,2834,2901,2964,3012,3075,3125,3173,3229,3282,3337,3401,3451,3520,3578,3634,3703,3754,3831,3878,3928,3987,4025,4087,4153,4211,4269,4313,4367,4423,4479,4542,4630,4681,4734,4782,4818,4869,4921,4982,5059,5116,5166,5227,5280,5342,5407,5454,5516,5573,5624,5685,5742,5802,5850,5912,5973,6024,6073,6132,6192,6256,6307,6354,6386,6432,6507,6558,6616,6655,6705,6755,6822,6894,6958,7014,7073,7123,7176,7228,7278,7336,7375,7426,7465,7538,7604,7677,7721,7783,7837,7904,7965,8020,8080,8142,8200,8241,8315,8373,8420,8473,8528,8588,8630,8686,8755,8800,8861,8911,8963,9030,9090,9144,9208,9277,9357,9415,9471,9539,9600,9666,9735,9794,9859,9908,9967,10030,10090,10159,10211,10271,10338,10381,10429,10477,10525,10579,10633,10696,10766,10826,10870,10947,10989,11053,11116,11170,11212,11273,11313,11380,11441
